Empenho;Tipo;Data;CPF/CNPJ;Valor Anulado;Valor Empenhado;Valor Liquidado;Valor Pago;Natureza;Proc. Licitatório;Modalidade;Ano_Empenho;Empenho Líquido
65,0;OR;02/01/2020;02.558.157/0001-62;0,0;182,61;182,61;182,61;3.3.90.40.24;000101/17;PREGÃO PRESENCIAL;2020;182,61
184,0;OR;02/01/2020;07.452.833/0004-85;0,0;581,83;581,83;581,83;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;581,83
185,0;OR;02/01/2020;07.452.833/0004-85;0,0;579,55;579,55;579,55;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;579,55
186,0;OR;02/01/2020;07.452.833/0004-85;0,0;131,98;131,98;131,98;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;131,98
187,0;OR;02/01/2020;07.452.833/0004-85;0,0;12,12;12,12;12,12;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;12,12
188,0;OR;02/01/2020;07.452.833/0004-85;0,0;118,55;118,55;118,55;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;118,55
189,0;OR;02/01/2020;07.452.833/0004-85;0,0;158,46;158,46;158,46;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;158,46
190,0;OR;02/01/2020;07.452.833/0004-85;0,0;47,07;47,07;47,07;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;47,07
191,0;OR;02/01/2020;07.452.833/0004-85;0,0;347,26;347,26;347,26;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;347,26
192,0;OR;02/01/2020;07.452.833/0004-85;0,0;199,36;199,36;199,36;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;199,36
193,0;OR;02/01/2020;07.452.833/0004-85;0,0;189,73;189,73;189,73;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;189,73
194,0;OR;02/01/2020;07.452.833/0004-85;0,0;326,66;326,66;326,66;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;326,66
195,0;OR;02/01/2020;07.452.833/0004-85;0,0;452,53;452,53;452,53;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;452,53
196,0;OR;02/01/2020;07.452.833/0004-85;0,0;528,6;528,6;528,6;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;528,6
197,0;OR;02/01/2020;07.452.833/0004-85;0,0;618,07;618,07;618,07;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;618,07
198,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
199,0;OR;02/01/2020;07.452.833/0004-85;0,0;942,66;942,66;942,66;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;942,66
200,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
201,0;OR;02/01/2020;07.452.833/0004-85;0,0;513,21;513,21;513,21;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;513,21
202,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
203,0;OR;02/01/2020;07.452.833/0004-85;0,0;89,4;89,4;89,4;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;89,4
204,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
205,0;OR;02/01/2020;07.452.833/0004-85;0,0;515,85;515,85;515,85;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;515,85
206,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
207,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
208,0;OR;02/01/2020;07.452.833/0004-85;0,0;257,83;257,83;257,83;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;257,83
209,0;OR;02/01/2020;29.763.408/0001-05;-80,0;80,0;0,0;0,0;3.3.90.39.77;000044/19;DISPENSA;2020;160,0
209,0;AN;19/03/2020;29.763.408/0001-05;80,0;-80,0;0,0;0,0;3.3.90.39.77;000044/19;DISPENSA;2020;-160,0
210,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;      /;DISPENSA;2020;80,0
211,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
212,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
213,0;OR;02/01/2020;07.452.833/0004-85;0,0;381,08;381,08;381,08;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;381,08
214,0;OR;02/01/2020;07.452.833/0004-85;0,0;106,45;106,45;106,45;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;106,45
215,0;OR;02/01/2020;07.452.833/0004-85;0,0;280,08;280,08;280,08;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;280,08
216,0;OR;02/01/2020;07.452.833/0004-85;0,0;196,67;196,67;196,67;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;196,67
217,0;OR;02/01/2020;29.763.408/0001-05;0,0;80,0;80,0;80,0;3.3.90.39.77;000044/19;DISPENSA;2020;80,0
218,0;OR;02/01/2020;07.452.833/0004-85;0,0;205,82;205,82;205,82;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;205,82
219,0;OR;02/01/2020;07.452.833/0004-85;0,0;122,78;122,78;122,78;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;122,78
220,0;OR;02/01/2020;07.452.833/0004-85;0,0;189,1;189,1;189,1;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;189,1
222,0;OR;02/01/2020;07.452.833/0004-85;0,0;204,89;204,89;204,89;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;204,89
224,0;OR;02/01/2020;07.452.833/0004-85;0,0;602,13;602,13;602,13;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;602,13
225,0;OR;02/01/2020;07.452.833/0004-85;0,0;974,61;974,61;974,61;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;974,61
226,0;OR;02/01/2020;07.452.833/0004-85;0,0;593,31;593,31;593,31;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;593,31
228,0;OR;02/01/2020;07.452.833/0004-85;0,0;178,8;178,8;178,8;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;178,8
229,0;OR;02/01/2020;07.452.833/0004-85;0,0;801,18;801,18;801,18;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;801,18
230,0;OR;02/01/2020;02.558.157/0001-62;0,0;190,01;190,01;190,01;3.3.90.40.24;000101/17;PREGÃO PRESENCIAL;2020;190,01
231,0;OR;02/01/2020;07.452.833/0004-85;0,0;745,85;745,85;745,85;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;745,85
232,0;OR;02/01/2020;07.452.833/0004-85;0,0;772,36;772,36;772,36;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;772,36
233,0;OR;02/01/2020;07.452.833/0004-85;0,0;361,18;361,18;361,18;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;361,18
234,0;OR;02/01/2020;07.452.833/0004-85;0,0;545,0;545,0;545,0;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;545,0
235,0;OR;02/01/2020;59.413.823/0001-91;0,0;454,8;454,8;454,8;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;454,8
236,0;OR;02/01/2020;07.452.833/0004-85;0,0;448,89;448,89;448,89;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;448,89
237,0;OR;02/01/2020;59.413.823/0001-91;0,0;454,8;454,8;454,8;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;454,8
238,0;OR;02/01/2020;48.066.047/0001-84;0,0;1198,47;1198,47;1198,47;3.3.90.39.90;      /;DISPENSA;2020;1198,47
239,0;OR;02/01/2020;59.413.823/0001-91;0,0;2240,0;2240,0;2240,0;3.3.90.32.99;000017/19;PREGÃO PRESENCIAL;2020;2240,0
240,0;OR;02/01/2020;59.413.823/0001-91;0,0;1360,0;1360,0;1360,0;3.3.90.32.99;000017/19;PREGÃO PRESENCIAL;2020;1360,0
241,0;OR;02/01/2020;59.413.823/0001-91;0,0;2080,0;2080,0;2080,0;3.3.90.32.99;000017/19;PREGÃO PRESENCIAL;2020;2080,0
242,0;OR;02/01/2020;59.413.823/0001-91;0,0;1600,0;1600,0;1600,0;3.3.90.32.99;000017/19;PREGÃO PRESENCIAL;2020;1600,0
243,0;OR;02/01/2020;27.239.161/0001-99;0,0;1472,9;1472,9;1472,9;3.3.90.30.99;000097/18;PREGÃO PRESENCIAL;2020;1472,9
244,0;OR;02/01/2020;59.413.823/0001-91;0,0;1250,7;1250,7;1250,7;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1250,7
245,0;OR;02/01/2020;59.413.823/0001-91;0,0;318,36;318,36;318,36;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;318,36
246,0;OR;02/01/2020;59.413.823/0001-91;0,0;454,8;454,8;454,8;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;454,8
248,0;OR;02/01/2020;59.413.823/0001-91;0,0;1212,8;1212,8;1212,8;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1212,8
249,0;OR;02/01/2020;59.413.823/0001-91;0,0;1379,56;1379,56;1379,56;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1379,56
250,0;OR;02/01/2020;59.413.823/0001-91;0,0;246,35;246,35;246,35;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;246,35
252,0;OR;02/01/2020;59.413.823/0001-91;0,0;1205,22;1205,22;1205,22;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1205,22
253,0;OR;02/01/2020;59.413.823/0001-91;0,0;265,3;265,3;265,3;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;265,3
254,0;OR;02/01/2020;59.413.823/0001-91;0,0;1455,36;1455,36;1455,36;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1455,36
255,0;OR;02/01/2020;59.413.823/0001-91;0,0;454,8;454,8;454,8;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;454,8
256,0;OR;02/01/2020;59.413.823/0001-91;0,0;1364,4;1364,4;1364,4;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1364,4
257,0;OR;02/01/2020;59.413.823/0001-91;0,0;1705,5;1705,5;1705,5;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1705,5
258,0;OR;02/01/2020;59.413.823/0001-91;0,0;322,15;322,15;322,15;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;322,15
259,0;OR;02/01/2020;59.413.823/0001-91;0,0;492,7;492,7;492,7;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;492,7
260,0;OR;02/01/2020;59.413.823/0001-91;0,0;1629,7;1629,7;1629,7;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;1629,7
261,0;OR;02/01/2020;59.413.823/0001-91;0,0;454,8;454,8;454,8;3.3.90.30.07;000085/19;PREGÃO PRESENCIAL;2020;454,8
262,0;OR;03/01/2020;19.475.703/0001-02;0,0;350,0;350,0;350,0;3.3.90.39.12;000084/17;MAT / SERV - CONVITE;2020;350,0
263,0;OR;03/01/2020;19.475.703/0001-02;0,0;350,0;350,0;350,0;3.3.90.39.12;000084/17;MAT / SERV - CONVITE;2020;350,0
264,0;OR;03/01/2020;19.475.703/0001-02;0,0;250,0;250,0;250,0;3.3.90.39.12;000084/17;MAT / SERV - CONVITE;2020;250,0
265,0;OR;03/01/2020;19.475.703/0001-02;0,0;1700,0;1700,0;1700,0;3.3.90.39.12;000084/17;MAT / SERV - CONVITE;2020;1700,0
266,0;OR;03/01/2020;19.475.703/0001-02;0,0;350,0;350,0;350,0;3.3.90.39.12;000084/17;MAT / SERV - CONVITE;2020;350,0
267,0;OR;03/01/2020;19.475.703/0001-02;0,0;200,0;200,0;200,0;3.3.90.39.12;000084/17;MAT / SERV - CONVITE;2020;200,0
268,0;OR;03/01/2020;19.475.703/0001-02;0,0;2300,0;2300,0;2300,0;3.3.90.39.12;000084/17;MAT / SERV - CONVITE;2020;2300,0
270,0;OR;03/01/2020;14.842.543/0001-60;0,0;53,44;53,44;53,44;3.3.90.30.04;000092/19;PREGÃO PRESENCIAL;2020;53,44
271,0;OR;03/01/2020;02.558.157/0001-62;0,0;1192,8;1192,8;1192,8;3.3.90.39.05;000101/17;PREGÃO PRESENCIAL;2020;1192,8
273,0;OR;06/01/2020;07.452.833/0004-85;0,0;253,62;253,62;253,62;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;253,62
274,0;OR;06/01/2020;07.452.833/0004-85;0,0;420,33;420,33;420,33;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;420,33
275,0;OR;06/01/2020;07.452.833/0004-85;0,0;208,86;208,86;208,86;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;208,86
276,0;OR;06/01/2020;07.452.833/0004-85;0,0;306,3;306,3;306,3;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;306,3
277,0;OR;06/01/2020;07.452.833/0004-85;0,0;424,84;424,84;424,84;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;424,84
278,0;OR;06/01/2020;07.452.833/0004-85;0,0;139,76;139,76;139,76;3.3.90.30.01;000060/19;PREGÃO PRESENCIAL;2020;139,76
