Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Artigo/Inciso;Economia Absoluta;Economia Percentual
000088/20;88.0;DISPENSA;20;34;Homologada  ;23/12/2020;13500.0;13060.0;Contratação de empresa especializada na aquisição e instalação de persianas e forro de PVC, para atender as necessidades do Casa Lar, vinculado ao Ser;04/11/2020;23/12/2020;;N;Art. 24, II, Lei 8666/93;440.0;0.03259259259259259
000087/20;87.0;DISPENSA;20;33;Homologada  ;18/12/2020;12591.0;12261.0;Aquisição de eletrodomésticos para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atendend;23/11/2020;18/12/2020;;N;Art. 24, II, Lei 8666/93;330.0;0.026209197045508698
000086/20;86.0;DISPENSA;20;32;Homologada  ;18/12/2020;11826.67;10990.0;Aquisição de 01 (uma) moto 0 KM, para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atend;23/11/2020;18/12/2020;;N;Art. 24, II, Lei 8666/93;836.6700000000001;0.07074434308220319
000085/20;85.0;DISPENSA;20;31;Homologada  ;11/12/2020;12766.67;12500.0;Contratação de empresa especializada na aquisição de portas de giro, para atender as necessidades do Centro Comunitário, vinculado ao Serviço de Convi;02/11/2020;11/12/2020;;N;Art. 24, II, Lei 8666/93;266.6700000000001;0.020887984102354026
000084/20;84.0;DISPENSA;20;30;Homologada  ;03/12/2020;3433.33;3300.0;Contratação de empresa especializada na aquisição de painéis para divisórias, para atender as necessidades do Centro Comunitário, vinculado ao Serviço;02/11/2020;03/12/2020;;N;Art. 24, II, Lei 8666/93;133.32999999999993;0.03883401828545462
000083/20;83.0;DISPENSA;20;29;Homologada  ;01/12/2020;3966.48;3924.0;Contratação de empresa especializada em serviços e aquisição de produtos de vidraçaria, para atender a demanda da Prefeitura Municipal de Riolândia, c;05/11/2020;01/12/2020;;N;Art. 24, II, Lei 8666/93;42.48000000000002;0.010709747685605378
000082/20;82.0;PREGÃO PRESENCIAL;20;39;Homologada  ;07/12/2020;2994725.25;2483936.5;O Registro de preço para à aquisição de gêneros alimentícios perecíveis para atendimento às necessidades do serviço de merenda escolar da Rede Municip;23/11/2020;07/12/2020;;S;;510788.75;0.1705628087251076
000081/20;81.0;PREGÃO PRESENCIAL;20;38;Homologada  ;03/12/2020;188304.69;123960.0;Registro de Preços para contratação de empresa especializada em serviços de solda e torno preventiva e corretiva em veículos, maquinários e mobiliário;18/11/2020;03/12/2020;;S;;64344.69;0.3417051906673169
000080/20;80.0;DISPENSA;20;2;Homologada  ;17/12/2020;437651.61;437530.9;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DIRETAMENTE DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL DESTINADO A MERENDA ESCOLAR, CONFORME §1º DO AR;11/11/2020;17/12/2020;;N;Chamada Publica - Lei Federal 11.947/2009;120.70999999996275;0.00027581299198228186
000079/20;79.0;DISPENSA;20;28;Homologada  ;23/10/2020;14360.78;13674.0;Contratação de empresa especializada em serviços e aquisição de produtos de vidraçaria, para atender a demanda da Prefeitura Municipal de Riolândia, c;23/09/2020;23/10/2020;;N;Art. 24, II, Lei 8666/93;686.7800000000007;0.04782330764763478
