Proc. Licitatório;Proc. Administrativo;Modalidade;Exercício;N° Mod.;Situação;Data Abert. Propost.;Hora Abert. Propost.;Valor Previsto;Valor Total Licitação;Objeto;Data do Edital;Data Encerramento;Carona;Reg. Preço;Prazo de Entrega/Início;Artigo/Inciso;Data Inicio Proposta;Data Fim Proposta
000151/22;151;CONVITE;22;24;Homologada  ;27/12/2022;09:30;140.442,74;140.001,49;Contratação de empresa especializada na prestação de serviços especializados de reforma e adaptação, incluido fornecimento de materiais, para implanta;12/12/2022;27/12/2022;;N;;;;
000150/22;150;DISPENSA;22;53;Homologada  ;07/12/2022;08:30;16.166,67;15.000,00;Contratação de empresa especializada no fornecimento de estrutura técnica e operacional, visando a realização da tradicional festa de Ano Novo do Muni;17/11/2022;07/12/2022;;N;;Art. 24, II, Lei 8666/93;;
000149/22;149;DISPENSA;22;52;Homologada  ;06/12/2022;08:30;22.370,34;22.281,00;Aquisição de eletrodomésticos para distribuição aos contribuintes, através de sorteio a ser realizado pela Prefeitura Municipal de Riolândia, atendend;17/10/2022;06/12/2022;;N;;Art. 75, II, Lei 14.133/2021;;
000148/22;148;PREGÃO ELETRÔNICO;22;50;Homologada  ;16/12/2022;08:00;25.664,03;22.281,00;Aquisição de Ar Condicionado, Cadeira, Lavadora e Tablet, para atender as necessidades do Setor de Saúde do Município de Riolândia/SP, com entrega par;02/12/2022;16/12/2022;;N;;;;
000147/22;147;INEXIGIBILIDADE;22;9;Homologada  ;01/12/2022;08:30;80.000,00;80.000,00;Contratação de profissional do setor artístico para realização de show, visando a realização da tradicional festa de Ano Novo do Município de Riolândi;19/10/2022;01/12/2022;;N;;Art. 25, III, Lei 8666/93;;
000146/22;146;DISPENSA;22;1;Homologada  ;29/12/2022;08:30;774.978,00;774.978,00;Aquisição de gêneros alimentícios diretamente da agricultura familiar e do empreendedor familiar rural, destinados a merenda escolar do Município de R;24/11/2022;29/12/2022;;N;;Chamada Publica - Lei Federal 11.947/2009;;
000145/22;145;PREGÃO PRESENCIAL;22;49;Homologada  ;08/12/2022;08:30;1.130.510,90;1.099.700,00;Registro de Preço para eventuais aquisições de kits de materiais escolares, visando a distribuição aos alunos matriculados nas escolas municipais de R;11/11/2022;08/12/2022;;S;16/12/2023;;;
000144/22;144;DISPENSA;22;51;Homologada  ;07/11/2022;09:00;500.692,50;495.000,00;Contratação de serviços de administração, gerenciamento, emissão e fornecimento de documentos de legitimação - Auxílio Alimentação, na forma de cartão;13/10/2022;07/11/2022;;N;;Art. 24, IV, Lei 8666/93;;
000143/22;143;DISPENSA;22;50;Homologada  ;07/11/2022;09:30;11.824,97;10.900,00;Contratação de empresa especializada em organização de eventos, para fornecimento e instalação de mesas, cadeiras e itens de decoração, para que seja ;11/10/2022;07/11/2022;;N;;Art. 75, II, Lei 14.133/2021;;
000142/22;142;DISPENSA;22;49;Homologada  ;07/11/2022;09:00;27.881,40;25.980,00;Aquisição de peças específicas que necessitam os ares-condicionados da escola municipal Maria Aparecida dos Santos Franco do Município de Riolândia-SP;11/10/2022;07/11/2022;;N;;Art. 75, II, Lei 14.133/2021;;
